유형,누수_spot_name,추정정본_place_id,추정정본_이름,이름알맹이,병합여부(비움: O=합침 X=별개)
A(place_id매칭),아베베베이커리 제주점,587249375,아베베베이커리 제주,아베베,O
A(place_id매칭),바가텔(Bagatelle),1780007263,바가텔,바가텔,O
B(place_id없음끼리),아베베비킬라,,아베베비킬라,아베베비킬라,O
B(place_id없음끼리),아베베비킬라베이커리,,아베베비킬라,아베베비킬라,O
B(place_id없음끼리),아베베 베이커리 비킬라,,아베베비킬라,아베베비킬라,O
B(place_id없음끼리),아베베비킬라 베이커리 제주,,아베베비킬라,아베베비킬라,O 아베베비킬라 모두 같은 가게같은데?
B(place_id없음끼리),애월빵공장,,애월빵공장,애월빵공장,O
B(place_id없음끼리),애월 빵공장,,애월빵공장,애월빵공장,O
B(place_id없음끼리),제주애월빵공장,,애월빵공장,애월빵공장,O
B(place_id없음끼리),애월빵공장·카페,,애월빵공장,애월빵공장,O 역시 애월빵공장은 모두 같음 그리고 페업이 되었어
B(place_id없음끼리),당포로나인카페앤브런치,,당포로나인카페앤브런치,당포로나인앤,O
B(place_id없음끼리),당포로나인 카페앤브런치,,당포로나인카페앤브런치,당포로나인앤,O 당포로 나인도 모두 같은 가게
B(place_id없음끼리),아녜스의 앞치마,,아녜스의 앞치마,아녜스의앞치마,O
B(place_id없음끼리),아녜스의앞치마,,아녜스의 앞치마,아녜스의앞치마,O 아네스의 앞치마도 같은 가게
B(place_id없음끼리),오기방,,오기방,오기방,O
B(place_id없음끼리),오기방 카페,,오기방,오기방,O 오기방 역시 모두 같은 가게
B(place_id없음끼리),오아시스80,,오아시스80,오아시스80,O
B(place_id없음끼리),오아시스80 (OASIS 80),,오아시스80,오아시스80,O
B(place_id없음끼리),카페 월향재,,카페 월향재,월향재,O
B(place_id없음끼리),월향재,,카페 월향재,월향재,O
B(place_id없음끼리),청수당 애월점,,청수당 애월점,청수당애월,O
B(place_id없음끼리),청수당 애월점 (Cheongsudang Awwol),,청수당 애월점,청수당애월,O
B(place_id없음끼리),트라인커피,,트라인커피,트라인,O
B(place_id없음끼리),트라인카페,,트라인커피,트라인,O
B(place_id없음끼리),파스테이스 제주점,,파스테이스 제주점,파스테이스,O
B(place_id없음끼리),파스테이스,,파스테이스 제주점,파스테이스,O
